Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Description,Victim Age,Victim Gender,Weapon Used,Case Closed,Risk
1659,10/3/2020,3/10/2020,18:59:00,Surat,VANDALISM,10,F,Knife,No,Medium
1660,11/3/2020,3/10/2020,2:28:00,Mumbai,TRAFFIC VIOLATION,38,F,Knife,No,Medium
1661,13-03-2020,3/10/2020,8:26:00,Bangalore,IDENTITY THEFT,39,F,Other,No,Low
1662,10/3/2020,3/10/2020,4:38:00,Delhi,SHOPLIFTING,25,M,Knife,Yes,Medium
1663,12/3/2020,3/10/2020,2:53:00,Agra,KIDNAPPING,51,F,Firearm,Yes,High
1664,10/3/2020,3/10/2020,4:37:00,Mumbai,KIDNAPPING,26,F,Knife,Yes,High
1665,12/3/2020,3/10/2020,6:26:00,Delhi,FRAUD,11,F,Blunt Object,Yes,Medium
1666,12/3/2020,3/10/2020,5:49:00,Nagpur,FIREARM OFFENSE,16,F,Poison,No,Medium
1667,12/3/2020,3/10/2020,15:12:00,Bangalore,BURGLARY,28,F,Blunt Object,Yes,Medium
1668,11/3/2020,3/10/2020,13:20:00,Delhi,ARSON,64,F,Poison,Yes,Medium
1669,13-03-2020,3/10/2020,13:33:00,Nagpur,CYBERCRIME,29,F,,Yes,Low
1670,13-03-2020,3/10/2020,12:10:00,Kanpur,ROBBERY,15,M,,No,Low
1671,11/3/2020,3/10/2020,6:18:00,Mumbai,ARSON,57,F,Poison,Yes,Medium
1672,10/3/2020,3/10/2020,10:59:00,Chennai,BURGLARY,54,F,Firearm,Yes,High
1673,12/3/2020,3/10/2020,14:57:00,Pune,VANDALISM,37,F,Firearm,No,High
1674,12/3/2020,3/10/2020,12:59:00,Kanpur,ROBBERY,67,F,,Yes,Low
1675,11/3/2020,3/10/2020,14:53:00,Meerut,ROBBERY,73,F,Other,No,Low
1676,13-03-2020,3/10/2020,21:41:00,Kolkata,FRAUD,11,M,,No,Medium
1677,13-03-2020,3/10/2020,1:28:00,Delhi,CYBERCRIME,41,F,Firearm,Yes,High
1678,11/3/2020,3/10/2020,12:13:00,Thane,COUNTERFEITING,19,F,Poison,Yes,Medium
1679,10/3/2020,3/10/2020,5:00:00,Bangalore,FIREARM OFFENSE,61,M,Explosives,Yes,High
1680,11/3/2020,3/10/2020,17:51:00,Nashik,ASSAULT,67,F,Explosives,Yes,High
1681,11/3/2020,3/11/2020,18:22:00,Jaipur,ARSON,35,F,Knife,Yes,Medium
1682,11/3/2020,3/11/2020,17:55:00,Nashik,SHOPLIFTING,18,F,Blunt Object,Yes,Low
1683,12/3/2020,3/11/2020,19:39:00,Delhi,ARSON,12,M,,Yes,Low
1684,12/3/2020,3/11/2020,1:34:00,Ahmedabad,DRUG OFFENSE,20,F,Explosives,Yes,High
1685,13-03-2020,3/11/2020,4:30:00,Agra,FIREARM OFFENSE,57,M,,No,Low
1686,12/3/2020,3/11/2020,12:20:00,Delhi,COUNTERFEITING,58,M,Poison,Yes,Medium
1687,13-03-2020,3/11/2020,0:16:00,Delhi,SHOPLIFTING,51,M,Blunt Object,No,Low
1688,14-03-2020,3/11/2020,19:17:00,Nashik,VANDALISM,45,F,Poison,No,Medium
1689,12/3/2020,3/11/2020,12:29:00,Vasai,VANDALISM,47,F,Knife,No,Medium
1690,13-03-2020,3/11/2020,11:17:00,Kolkata,VEHICLE - STOLEN,46,F,,No,Low
1691,12/3/2020,3/11/2020,23:54:00,Delhi,VANDALISM,33,F,Knife,Yes,Medium
1692,11/3/2020,3/11/2020,18:39:00,Pune,BURGLARY,34,F,Knife,Yes,Medium
1693,12/3/2020,3/11/2020,18:22:00,Delhi,IDENTITY THEFT,28,M,Firearm,No,High
1694,13-03-2020,3/11/2020,1:37:00,Nashik,ROBBERY,18,M,Explosives,Yes,High
1695,12/3/2020,3/11/2020,0:18:00,Kolkata,VANDALISM,48,M,Knife,No,Medium
1696,13-03-2020,3/11/2020,6:29:00,Pune,BURGLARY,55,M,Knife,No,Medium
1697,12/3/2020,3/11/2020,13:01:00,Meerut,HOMICIDE,76,F,Firearm,No,High
1698,13-03-2020,3/11/2020,11:27:00,Jaipur,SEXUAL ASSAULT,53,F,Firearm,Yes,High
1699,13-03-2020,3/11/2020,9:23:00,Bangalore,ASSAULT,15,M,Firearm,No,High
1700,14-03-2020,3/11/2020,21:59:00,Lucknow,IDENTITY THEFT,46,M,Knife,Yes,Medium
1701,13-03-2020,3/11/2020,6:52:00,Kanpur,CYBERCRIME,16,M,,No,Low
1702,13-03-2020,3/11/2020,18:10:00,Hyderabad,BURGLARY,50,F,Knife,Yes,Medium
1703,13-03-2020,3/11/2020,12:08:00,Bangalore,FRAUD,31,M,Blunt Object,Yes,Medium
1704,13-03-2020,3/11/2020,10:54:00,Surat,COUNTERFEITING,14,M,Blunt Object,No,Low
1705,14-03-2020,3/12/2020,5:50:00,Bangalore,PUBLIC INTOXICATION,76,F,Other,No,Low
1706,12/3/2020,3/12/2020,23:42:00,Visakhapatnam,ILLEGAL POSSESSION,70,F,Explosives,Yes,High
1707,13-03-2020,3/12/2020,23:43:00,Varanasi,ILLEGAL POSSESSION,63,F,Explosives,Yes,High
1708,13-03-2020,3/12/2020,18:21:00,Pune,HOMICIDE,77,M,Blunt Object,No,High
1709,12/3/2020,3/12/2020,5:57:00,Bangalore,HOMICIDE,50,F,Firearm,Yes,High
1710,12/3/2020,3/12/2020,14:41:00,Jaipur,PUBLIC INTOXICATION,33,M,Knife,No,Medium
1711,13-03-2020,3/12/2020,21:34:00,Kolkata,EXTORTION,76,F,Poison,No,Medium
1712,13-03-2020,3/12/2020,3:23:00,Delhi,HOMICIDE,39,M,Firearm,Yes,High
1713,15-03-2020,3/12/2020,0:49:00,Jaipur,ILLEGAL POSSESSION,45,M,Blunt Object,Yes,Low
1714,12/3/2020,3/12/2020,5:52:00,Lucknow,CYBERCRIME,54,F,,No,Low
1715,13-03-2020,3/12/2020,18:47:00,Delhi,ASSAULT,13,F,Knife,Yes,High
1716,12/3/2020,3/12/2020,14:43:00,Ahmedabad,EXTORTION,53,M,Poison,Yes,Medium
1717,13-03-2020,3/12/2020,23:52:00,Mumbai,DOMESTIC VIOLENCE,45,F,Other,Yes,Low
1718,14-03-2020,3/12/2020,19:42:00,Bangalore,IDENTITY THEFT,38,F,,Yes,Low
1719,13-03-2020,3/12/2020,7:44:00,Bangalore,HOMICIDE,33,M,Firearm,Yes,High
1720,13-03-2020,3/12/2020,11:01:00,Delhi,VANDALISM,14,F,,Yes,Low
1721,14-03-2020,3/12/2020,20:22:00,Lucknow,FIREARM OFFENSE,11,F,Poison,No,Medium
1722,13-03-2020,3/12/2020,16:03:00,Mumbai,TRAFFIC VIOLATION,37,M,Blunt Object,No,Low
1723,13-03-2020,3/12/2020,6:22:00,Lucknow,VANDALISM,53,M,Knife,Yes,Medium
1724,14-03-2020,3/12/2020,4:20:00,Chennai,SEXUAL ASSAULT,33,M,Poison,No,Medium
1725,15-03-2020,3/12/2020,15:36:00,Hyderabad,FRAUD,19,M,Firearm,Yes,High
1726,15-03-2020,3/12/2020,2:28:00,Hyderabad,DRUG OFFENSE,21,M,Other,Yes,Low
1727,15-03-2020,3/12/2020,11:22:00,Mumbai,DOMESTIC VIOLENCE,40,F,Blunt Object,No,Low
1728,13-03-2020,3/12/2020,6:07:00,Bangalore,SHOPLIFTING,48,F,Firearm,No,High
1729,14-03-2020,3/13/2020 0:00,19:32:00,Hyderabad,SHOPLIFTING,69,F,Other,No,Low
1730,14-03-2020,3/13/2020 1:00,9:30:00,Ahmedabad,FRAUD,71,M,Knife,Yes,Medium
1731,13-03-2020,3/13/2020 2:00,22:36:00,Hyderabad,DRUG OFFENSE,13,F,Blunt Object,No,Low
1732,14-03-2020,3/13/2020 3:00,2:27:00,Delhi,EXTORTION,60,F,Firearm,Yes,High
1733,13-03-2020,3/13/2020 4:00,19:53:00,Nagpur,HOMICIDE,33,M,Firearm,No,High
1734,15-03-2020,3/13/2020 5:00,8:02:00,Mumbai,TRAFFIC VIOLATION,49,F,Knife,No,Medium
1735,15-03-2020,3/13/2020 6:00,14:19:00,Kolkata,ILLEGAL POSSESSION,29,M,Blunt Object,Yes,Low
1736,14-03-2020,3/13/2020 7:00,16:13:00,Delhi,ILLEGAL POSSESSION,29,F,Blunt Object,No,Low
1737,13-03-2020,3/13/2020 8:00,17:19:00,Surat,FIREARM OFFENSE,23,F,Other,No,Low
1738,16-03-2020,3/13/2020 9:00,21:42:00,Bangalore,DRUG OFFENSE,21,F,Firearm,No,High
1739,14-03-2020,3/13/2020 10:00,21:40:00,Mumbai,DOMESTIC VIOLENCE,73,F,Other,Yes,Low
1740,16-03-2020,3/13/2020 11:00,17:58:00,Srinagar,KIDNAPPING,37,M,Explosives,Yes,High
1741,13-03-2020,3/13/2020 12:00,9:36:00,Mumbai,PUBLIC INTOXICATION,24,F,Poison,Yes,Medium
1742,14-03-2020,3/13/2020 13:00,18:13:00,Bangalore,BURGLARY,49,F,,Yes,Medium
1743,13-03-2020,3/13/2020 14:00,19:33:00,Hyderabad,BURGLARY,46,F,Poison,No,Medium
1744,14-03-2020,3/13/2020 15:00,5:23:00,Mumbai,ARSON,49,M,Blunt Object,No,Low
1745,13-03-2020,3/13/2020 16:00,7:49:00,Mumbai,VEHICLE - STOLEN,23,M,Blunt Object,Yes,Low
1746,15-03-2020,3/13/2020 17:00,6:55:00,Mumbai,BURGLARY,35,M,Explosives,Yes,High
1747,16-03-2020,3/13/2020 18:00,19:36:00,Delhi,ROBBERY,25,F,Knife,Yes,Medium
1748,14-03-2020,3/13/2020 19:00,6:23:00,Bhopal,COUNTERFEITING,50,M,Explosives,No,High
1749,14-03-2020,3/13/2020 20:00,20:51:00,Indore,DOMESTIC VIOLENCE,48,F,Poison,No,Medium
1750,15-03-2020,3/13/2020 21:00,19:18:00,Vasai,KIDNAPPING,42,M,Other,No,High
1751,15-03-2020,3/13/2020 22:00,23:30:00,Agra,SEXUAL ASSAULT,19,F,,Yes,Low
1752,14-03-2020,3/13/2020 23:00,8:26:00,Mumbai,DRUG OFFENSE,67,M,Poison,No,Medium
1753,15-03-2020,3/14/2020 0:00,5:52:00,Pune,FIREARM OFFENSE,34,F,Explosives,No,High
1754,15-03-2020,3/14/2020 1:00,14:11:00,Delhi,ILLEGAL POSSESSION,53,F,Knife,Yes,Medium
1755,16-03-2020,3/14/2020 2:00,9:38:00,Delhi,DOMESTIC VIOLENCE,34,F,Other,Yes,Low
1756,14-03-2020,3/14/2020 3:00,23:22:00,Delhi,IDENTITY THEFT,24,F,Blunt Object,Yes,Low
1757,14-03-2020,3/14/2020 4:00,15:55:00,Bangalore,HOMICIDE,79,M,Knife,No,High
1758,16-03-2020,3/14/2020 5:00,8:01:00,Mumbai,SEXUAL ASSAULT,28,F,Blunt Object,No,Low
1759,16-03-2020,3/14/2020 6:00,0:47:00,Delhi,HOMICIDE,55,F,Blunt Object,No,High
1760,16-03-2020,3/14/2020 7:00,13:37:00,Pune,COUNTERFEITING,43,F,Knife,No,Medium
1761,16-03-2020,3/14/2020 8:00,0:11:00,Chennai,PUBLIC INTOXICATION,17,F,Poison,Yes,Medium
1762,14-03-2020,3/14/2020 9:00,9:52:00,Ahmedabad,BURGLARY,24,M,Other,Yes,Medium
1763,14-03-2020,3/14/2020 10:00,2:28:00,Hyderabad,CYBERCRIME,25,F,,No,Low
1764,15-03-2020,3/14/2020 11:00,18:16:00,Mumbai,HOMICIDE,55,M,Knife,Yes,High
1765,16-03-2020,3/14/2020 12:00,7:23:00,Varanasi,SEXUAL ASSAULT,49,F,,Yes,Low
1766,14-03-2020,3/14/2020 13:00,10:52:00,Delhi,CYBERCRIME,26,M,Explosives,Yes,High
1767,17-03-2020,3/14/2020 14:00,15:53:00,Mumbai,FIREARM OFFENSE,29,M,Blunt Object,Yes,Low
1768,14-03-2020,3/14/2020 15:00,15:38:00,Pune,PUBLIC INTOXICATION,30,F,,No,Low
1769,17-03-2020,3/14/2020 16:00,7:05:00,Pune,ASSAULT,27,F,Knife,Yes,High
1770,16-03-2020,3/14/2020 17:00,17:28:00,Thane,PUBLIC INTOXICATION,58,M,Poison,No,Medium
1771,15-03-2020,3/14/2020 18:00,22:37:00,Mumbai,TRAFFIC VIOLATION,19,M,Poison,No,Medium
1772,16-03-2020,3/14/2020 19:00,3:50:00,Lucknow,PUBLIC INTOXICATION,60,F,Blunt Object,Yes,Low
1773,15-03-2020,3/14/2020 20:00,22:20:00,Ludhiana,ASSAULT,39,F,Firearm,No,High
1774,15-03-2020,3/14/2020 21:00,19:26:00,Mumbai,DRUG OFFENSE,29,M,Knife,Yes,Medium
1775,16-03-2020,3/14/2020 22:00,20:46:00,Hyderabad,DOMESTIC VIOLENCE,19,M,Poison,No,Medium
1776,15-03-2020,3/14/2020 23:00,5:48:00,Bhopal,DOMESTIC VIOLENCE,15,F,Other,No,Low
1777,16-03-2020,3/15/2020 0:00,21:09:00,Pune,VANDALISM,34,F,Other,Yes,Low
1778,17-03-2020,3/15/2020 1:00,4:59:00,Kolkata,ARSON,77,F,Explosives,Yes,High
1779,17-03-2020,3/15/2020 2:00,21:49:00,Pune,ILLEGAL POSSESSION,53,F,Knife,No,Medium
1780,17-03-2020,3/15/2020 3:00,5:13:00,Delhi,ASSAULT,13,F,Poison,No,High
1781,16-03-2020,3/15/2020 4:00,8:53:00,Bangalore,KIDNAPPING,43,F,Blunt Object,Yes,High
1782,17-03-2020,3/15/2020 5:00,11:55:00,Bangalore,SEXUAL ASSAULT,58,F,Poison,No,Medium
1783,16-03-2020,3/15/2020 6:00,16:13:00,Ahmedabad,FIREARM OFFENSE,53,M,,Yes,Low
1784,17-03-2020,3/15/2020 7:00,11:53:00,Chennai,ARSON,55,F,,Yes,Low
1785,15-03-2020,3/15/2020 8:00,15:28:00,Delhi,CYBERCRIME,23,F,Firearm,No,High
1786,16-03-2020,3/15/2020 9:00,9:26:00,Chennai,FRAUD,18,F,Knife,Yes,Medium
1787,16-03-2020,3/15/2020 10:00,11:56:00,Hyderabad,DOMESTIC VIOLENCE,47,M,Explosives,Yes,High
1788,15-03-2020,3/15/2020 11:00,20:04:00,Mumbai,ASSAULT,21,F,Blunt Object,No,High
1789,18-03-2020,3/15/2020 12:00,9:41:00,Visakhapatnam,ARSON,36,F,Explosives,Yes,High
1790,17-03-2020,3/15/2020 13:00,16:09:00,Bangalore,ARSON,76,F,Knife,No,Medium
1791,16-03-2020,3/15/2020 14:00,8:54:00,Delhi,KIDNAPPING,13,F,Other,Yes,High
1792,16-03-2020,3/15/2020 15:00,22:59:00,Pune,SEXUAL ASSAULT,49,M,Explosives,Yes,High
1793,15-03-2020,3/15/2020 16:00,2:19:00,Ghaziabad,PUBLIC INTOXICATION,31,F,Poison,Yes,Medium
1794,18-03-2020,3/15/2020 17:00,23:29:00,Kolkata,DRUG OFFENSE,32,F,Explosives,No,High
1795,18-03-2020,3/15/2020 18:00,9:04:00,Chennai,TRAFFIC VIOLATION,36,F,Blunt Object,Yes,Low
1796,17-03-2020,3/15/2020 19:00,6:53:00,Mumbai,SEXUAL ASSAULT,74,F,Poison,No,Medium
1797,16-03-2020,3/15/2020 20:00,22:27:00,Hyderabad,DOMESTIC VIOLENCE,56,M,Explosives,Yes,High
1798,18-03-2020,3/15/2020 21:00,2:11:00,Agra,TRAFFIC VIOLATION,71,F,Knife,Yes,Medium
1799,16-03-2020,3/15/2020 22:00,17:42:00,Delhi,FRAUD,52,F,Blunt Object,Yes,Medium
1800,18-03-2020,3/15/2020 23:00,18:01:00,Delhi,CYBERCRIME,67,M,,No,Low
1801,16-03-2020,3/16/2020 0:00,4:17:00,Bangalore,SHOPLIFTING,12,M,Other,No,Low
1802,18-03-2020,3/16/2020 1:00,22:33:00,Delhi,FRAUD,15,F,Firearm,No,High
1803,17-03-2020,3/16/2020 2:00,12:42:00,Bhopal,KIDNAPPING,14,F,Firearm,Yes,High
1804,17-03-2020,3/16/2020 3:00,20:55:00,Bangalore,EXTORTION,22,F,Explosives,No,High
1805,18-03-2020,3/16/2020 4:00,8:24:00,Delhi,FRAUD,47,M,Knife,Yes,Medium
1806,17-03-2020,3/16/2020 5:00,22:26:00,Kolkata,CYBERCRIME,21,F,Blunt Object,No,Low
1807,16-03-2020,3/16/2020 6:00,7:01:00,Mumbai,ROBBERY,67,F,Knife,No,Medium
1808,17-03-2020,3/16/2020 7:00,23:42:00,Kanpur,SHOPLIFTING,33,F,Blunt Object,Yes,Low
1809,18-03-2020,3/16/2020 8:00,15:01:00,Mumbai,PUBLIC INTOXICATION,38,F,Knife,No,Medium
1810,18-03-2020,3/16/2020 9:00,4:54:00,Mumbai,ROBBERY,14,F,Explosives,Yes,High
1811,17-03-2020,3/16/2020 10:00,16:11:00,Bangalore,COUNTERFEITING,21,F,Other,No,Low
1812,18-03-2020,3/16/2020 11:00,17:02:00,Ahmedabad,BURGLARY,33,F,Knife,No,Medium
1813,18-03-2020,3/16/2020 12:00,18:15:00,Srinagar,FRAUD,18,F,Firearm,Yes,High
1814,18-03-2020,3/16/2020 13:00,3:34:00,Ahmedabad,DRUG OFFENSE,57,F,,Yes,Low
1815,17-03-2020,3/16/2020 14:00,6:57:00,Hyderabad,ILLEGAL POSSESSION,19,M,Other,Yes,Low
1816,18-03-2020,3/16/2020 15:00,1:35:00,Delhi,ILLEGAL POSSESSION,48,F,Firearm,Yes,High
1817,19-03-2020,3/16/2020 16:00,9:53:00,Mumbai,FRAUD,33,F,Blunt Object,Yes,Medium
1818,17-03-2020,3/16/2020 17:00,18:25:00,Chennai,CYBERCRIME,74,F,,No,Low
1819,17-03-2020,3/16/2020 18:00,14:12:00,Kolkata,ASSAULT,18,F,,Yes,High
1820,18-03-2020,3/16/2020 19:00,18:33:00,Ahmedabad,DOMESTIC VIOLENCE,53,F,Knife,No,Medium
1821,17-03-2020,3/16/2020 20:00,1:19:00,Surat,EXTORTION,21,M,Knife,No,Medium
1822,17-03-2020,3/16/2020 21:00,21:14:00,Kolkata,COUNTERFEITING,17,M,Blunt Object,No,Low
1823,17-03-2020,3/16/2020 22:00,5:48:00,Delhi,IDENTITY THEFT,34,F,Firearm,Yes,High
1824,17-03-2020,3/16/2020 23:00,6:36:00,Delhi,CYBERCRIME,19,F,Blunt Object,Yes,Low
1825,19-03-2020,3/17/2020 0:00,11:41:00,Kolkata,PUBLIC INTOXICATION,32,F,,Yes,Low
1826,20-03-2020,3/17/2020 1:00,13:42:00,Ahmedabad,FRAUD,58,M,Other,Yes,Medium
1827,18-03-2020,3/17/2020 2:00,5:44:00,Hyderabad,CYBERCRIME,30,M,,No,Low
1828,19-03-2020,3/17/2020 3:00,4:45:00,Surat,FIREARM OFFENSE,72,F,Blunt Object,No,Low
1829,18-03-2020,3/17/2020 4:00,20:23:00,Visakhapatnam,VANDALISM,30,F,Firearm,No,High
1830,19-03-2020,3/17/2020 5:00,21:43:00,Delhi,ARSON,19,M,,No,Low
1831,19-03-2020,3/17/2020 6:00,23:57:00,Visakhapatnam,DRUG OFFENSE,51,M,Explosives,No,High
1832,19-03-2020,3/17/2020 7:00,8:39:00,Bangalore,VEHICLE - STOLEN,72,F,Firearm,Yes,High
1833,18-03-2020,3/17/2020 8:00,15:59:00,Jaipur,DOMESTIC VIOLENCE,50,F,Explosives,Yes,High
1834,19-03-2020,3/17/2020 9:00,18:32:00,Lucknow,KIDNAPPING,62,F,Other,Yes,High
1835,18-03-2020,3/17/2020 10:00,1:18:00,Kolkata,VEHICLE - STOLEN,15,M,Other,No,Low
1836,19-03-2020,3/17/2020 11:00,20:30:00,Agra,FIREARM OFFENSE,18,F,Knife,No,Medium
1837,20-03-2020,3/17/2020 12:00,1:37:00,Delhi,CYBERCRIME,26,M,Other,No,Low
1838,19-03-2020,3/17/2020 13:00,19:34:00,Hyderabad,COUNTERFEITING,69,F,Blunt Object,Yes,Low
1839,19-03-2020,3/17/2020 14:00,16:17:00,Mumbai,CYBERCRIME,78,M,,No,Low
1840,18-03-2020,3/17/2020 15:00,18:27:00,Ahmedabad,VANDALISM,49,M,Explosives,No,High
1841,20-03-2020,3/17/2020 16:00,6:06:00,Bangalore,FIREARM OFFENSE,53,F,Poison,No,Medium
1842,20-03-2020,3/17/2020 17:00,19:02:00,Patna,BURGLARY,42,M,Explosives,Yes,High
1843,18-03-2020,3/17/2020 18:00,8:10:00,Pune,PUBLIC INTOXICATION,53,F,Poison,Yes,Medium
1844,19-03-2020,3/17/2020 19:00,13:27:00,Ghaziabad,TRAFFIC VIOLATION,31,F,Explosives,No,High
1845,18-03-2020,3/17/2020 20:00,2:26:00,Ahmedabad,FIREARM OFFENSE,58,M,Firearm,Yes,High
1846,19-03-2020,3/17/2020 21:00,21:48:00,Delhi,ARSON,54,F,,Yes,Low
1847,19-03-2020,3/17/2020 22:00,18:12:00,Bangalore,EXTORTION,11,F,Knife,No,Medium
1848,20-03-2020,3/17/2020 23:00,11:45:00,Delhi,FIREARM OFFENSE,66,M,Firearm,Yes,High
1849,18-03-2020,3/18/2020 0:00,0:58:00,Agra,BURGLARY,44,M,Other,Yes,Medium
1850,18-03-2020,3/18/2020 1:00,20:12:00,Bangalore,ILLEGAL POSSESSION,75,F,Explosives,Yes,High
1851,19-03-2020,3/18/2020 2:00,17:21:00,Delhi,ROBBERY,45,F,Explosives,No,High
1852,20-03-2020,3/18/2020 3:00,10:55:00,Delhi,BURGLARY,58,F,Other,Yes,Medium
1853,18-03-2020,3/18/2020 4:00,18:40:00,Delhi,ARSON,30,F,Explosives,Yes,High
1854,19-03-2020,3/18/2020 5:00,21:48:00,Ahmedabad,ROBBERY,52,F,Other,No,Low
1855,20-03-2020,3/18/2020 6:00,19:52:00,Mumbai,CYBERCRIME,21,F,Other,Yes,Low
1856,18-03-2020,3/18/2020 7:00,10:11:00,Thane,ROBBERY,27,F,Blunt Object,No,Low
1857,19-03-2020,3/18/2020 8:00,20:25:00,Lucknow,KIDNAPPING,22,M,Explosives,No,High
1858,19-03-2020,3/18/2020 9:00,16:42:00,Ludhiana,FRAUD,30,F,Other,Yes,Medium
1859,18-03-2020,3/18/2020 10:00,20:36:00,Mumbai,FIREARM OFFENSE,48,F,Explosives,Yes,High
1860,18-03-2020,3/18/2020 11:00,15:31:00,Hyderabad,FRAUD,31,F,Blunt Object,No,Medium
1861,18-03-2020,3/18/2020 12:00,20:38:00,Lucknow,COUNTERFEITING,68,F,Firearm,No,High
1862,20-03-2020,3/18/2020 13:00,13:00:00,Delhi,IDENTITY THEFT,43,F,Knife,Yes,Medium
1863,21-03-2020,3/18/2020 14:00,14:22:00,Kanpur,FRAUD,47,F,Explosives,No,High
1864,18-03-2020,3/18/2020 15:00,21:42:00,Agra,DOMESTIC VIOLENCE,52,M,Explosives,Yes,High
1865,18-03-2020,3/18/2020 16:00,4:59:00,Mumbai,DOMESTIC VIOLENCE,54,F,Other,No,Low
1866,20-03-2020,3/18/2020 17:00,3:49:00,Pune,SHOPLIFTING,35,F,Firearm,No,High
1867,21-03-2020,3/18/2020 18:00,14:11:00,Pune,ROBBERY,44,F,Knife,Yes,Medium
1868,21-03-2020,3/18/2020 19:00,0:00:00,Kalyan,SEXUAL ASSAULT,74,M,Firearm,Yes,High
1869,21-03-2020,3/18/2020 20:00,10:24:00,Hyderabad,FIREARM OFFENSE,78,M,Other,Yes,Low
1870,19-03-2020,3/18/2020 21:00,4:14:00,Pune,VANDALISM,72,M,Blunt Object,No,Low
1871,19-03-2020,3/18/2020 22:00,8:45:00,Kolkata,PUBLIC INTOXICATION,11,M,Other,No,Low
1872,20-03-2020,3/18/2020 23:00,14:23:00,Jaipur,ARSON,79,M,Firearm,Yes,High
1873,19-03-2020,3/19/2020 0:00,21:29:00,Ludhiana,FIREARM OFFENSE,66,F,Explosives,No,High
1874,21-03-2020,3/19/2020 1:00,9:34:00,Pune,PUBLIC INTOXICATION,63,F,Knife,No,Medium
1875,19-03-2020,3/19/2020 2:00,20:16:00,Kolkata,VANDALISM,69,F,Knife,Yes,Medium
1876,20-03-2020,3/19/2020 3:00,23:20:00,Pune,CYBERCRIME,46,M,,Yes,Low
1877,20-03-2020,3/19/2020 4:00,22:51:00,Bangalore,HOMICIDE,10,F,Poison,No,High
1878,20-03-2020,3/19/2020 5:00,9:29:00,Thane,ROBBERY,42,F,Knife,No,Medium
1879,21-03-2020,3/19/2020 6:00,4:30:00,Bhopal,BURGLARY,12,F,Blunt Object,No,Medium
1880,20-03-2020,3/19/2020 7:00,14:03:00,Chennai,SEXUAL ASSAULT,21,F,Firearm,No,High
1881,21-03-2020,3/19/2020 8:00,12:16:00,Delhi,DRUG OFFENSE,57,F,Knife,Yes,Medium
1882,22-03-2020,3/19/2020 9:00,9:11:00,Mumbai,COUNTERFEITING,61,F,Other,Yes,Low
1883,21-03-2020,3/19/2020 10:00,4:59:00,Agra,KIDNAPPING,26,F,Knife,Yes,High
1884,19-03-2020,3/19/2020 11:00,7:19:00,Ahmedabad,SEXUAL ASSAULT,66,M,Explosives,No,High
1885,20-03-2020,3/19/2020 12:00,10:25:00,Meerut,DOMESTIC VIOLENCE,79,M,Knife,No,Medium
1886,19-03-2020,3/19/2020 13:00,8:46:00,Bhopal,BURGLARY,61,F,Poison,No,Medium
1887,21-03-2020,3/19/2020 14:00,1:56:00,Chennai,ROBBERY,11,M,Blunt Object,No,Low
1888,21-03-2020,3/19/2020 15:00,20:56:00,Nashik,ASSAULT,46,F,Knife,No,High
1889,21-03-2020,3/19/2020 16:00,8:09:00,Pune,ROBBERY,48,F,Knife,Yes,Medium
1890,19-03-2020,3/19/2020 17:00,16:18:00,Delhi,CYBERCRIME,66,F,,No,Low
1891,22-03-2020,3/19/2020 18:00,5:04:00,Surat,EXTORTION,67,F,Blunt Object,Yes,Medium
1892,22-03-2020,3/19/2020 19:00,6:24:00,Mumbai,FIREARM OFFENSE,30,F,Firearm,Yes,High
1893,21-03-2020,3/19/2020 20:00,1:10:00,Chennai,EXTORTION,18,F,Explosives,Yes,High
1894,20-03-2020,3/19/2020 21:00,21:35:00,Lucknow,VANDALISM,71,F,Poison,No,Medium
1895,21-03-2020,3/19/2020 22:00,16:47:00,Pune,BURGLARY,55,F,Blunt Object,No,Medium
1896,22-03-2020,3/19/2020 23:00,10:55:00,Mumbai,ASSAULT,25,M,Blunt Object,Yes,High
1897,20-03-2020,3/20/2020 0:00,1:23:00,Rajkot,EXTORTION,78,F,Firearm,Yes,High
1898,22-03-2020,3/20/2020 1:00,11:44:00,Nagpur,HOMICIDE,16,M,,Yes,High
1899,21-03-2020,3/20/2020 2:00,9:44:00,Chennai,IDENTITY THEFT,65,M,Firearm,No,High
1900,22-03-2020,3/20/2020 3:00,21:48:00,Agra,ARSON,57,F,,No,Low
1901,21-03-2020,3/20/2020 4:00,8:03:00,Kolkata,FRAUD,20,F,Firearm,No,High
1902,20-03-2020,3/20/2020 5:00,13:14:00,Delhi,PUBLIC INTOXICATION,45,M,Explosives,Yes,High
1903,22-03-2020,3/20/2020 6:00,3:48:00,Ahmedabad,KIDNAPPING,65,F,Knife,Yes,High
1904,20-03-2020,3/20/2020 7:00,22:34:00,Pune,FIREARM OFFENSE,31,M,Other,No,Low
1905,23-03-2020,3/20/2020 8:00,14:37:00,Kolkata,COUNTERFEITING,13,M,Other,Yes,Low
1906,22-03-2020,3/20/2020 9:00,18:08:00,Pune,ILLEGAL POSSESSION,56,M,Other,Yes,Low
1907,21-03-2020,3/20/2020 10:00,1:47:00,Kanpur,EXTORTION,65,F,,No,Medium
1908,23-03-2020,3/20/2020 11:00,17:11:00,Lucknow,ILLEGAL POSSESSION,25,F,Explosives,Yes,High
1909,21-03-2020,3/20/2020 12:00,5:17:00,Delhi,COUNTERFEITING,44,M,Poison,No,Medium
